"country","chistians","muslims","unaffiliated","hindus","buddhists","folkReligions","other","jews"
"Afghanistan","30000","31330000","5000","10000","5000","5000","20000","5000"
"Albania","580000","2570000","50000","5000","5000","5000","5000","5000"
"Algeria","60000","34730000","660000","5000","5000","10000","5000","5000"
"American Samoa","50000","5000","5000","5000","5000","5000","5000","5000"
"Andorra","70000","5000","5000","5000","5000","5000","5000","5000"
"Angola","17270000","40000","980000","5000","5000","790000","5000","5000"
"Anguilla","10000","5000","5000","5000","5000","5000","5000","5000"
"Antigua and Barbuda","80000","5000","5000","5000","5000","5000","5000","5000"
"Argentina","34420000","400000","4920000","5000","20000","330000","120000","200000"
"Armenia","3050000","5000","40000","5000","5000","5000","5000","5000"
"Aruba","100000","5000","5000","5000","5000","5000","5000","5000"
"Australia","14980000","540000","5390000","310000","600000","150000","180000","110000"
"Austria","6750000","450000","1130000","5000","20000","5000","10000","10000"
"Azerbaijan","280000","8900000","5000","5000","5000","5000","5000","5000"
"Bahamas","330000","5000","10000","5000","5000","5000","5000","5000"
"Bahrain","180000","890000","20000","120000","30000","5000","5000","5000"
"Bangladesh","450000","134430000","5000","12680000","920000","100000","100000","5000"
"Barbados","260000","5000","5000","5000","5000","5000","5000","5000"
"Belarus","6830000","20000","2740000","5000","5000","5000","5000","5000"
"Belgium","6880000","630000","3110000","5000","30000","20000","10000","30000"
"Belize","270000","5000","30000","5000","5000","5000","5000","5000"
"Benin","4690000","2110000","450000","5000","5000","1600000","5000","5000"
"Bermuda","50000","5000","10000","5000","5000","5000","5000","5000"
"Bhutan","5000","5000","5000","160000","540000","10000","5000","5000"
"Bolivia","9330000","5000","400000","5000","5000","90000","100000","5000"
"Bosnia and Herzegovina","1970000","1700000","90000","5000","5000","5000","5000","5000"
"Botswana","1450000","5000","410000","5000","5000","120000","10000","5000"
"Brazil","173300000","40000","15410000","5000","250000","5540000","300000","110000"
"British Virgin Islands","20000","5000","5000","5000","5000","5000","5000","5000"
"Brunei","40000","300000","5000","5000","30000","20000","5000","5000"
"Bulgaria","6150000","1020000","310000","5000","5000","5000","5000","5000"
"Burkina Faso","3710000","10150000","70000","5000","5000","2530000","5000","5000"
